Nom_station,Capacite_station
Emeriau - Beaugrenelle,74
Grenelle - Dr Finlay,71
Censier - Santeuil,69
Gare de Lyon - Roland Barthes,68
Jean de la Fontaine - Boulainvilliers,68
Fabre d'Eglantine - Place de la Nation,68
Cambronne - Mademoiselle,67
Macdonald - Césaria Evora,67
Place du Palais Royal,67
Malesherbes - Place de la Madeleine,67
Porte de Charenton,67
Gare Montparnasse - Vaugirard,66
Saint-Placide - Cherche Midi,66
Bercy.,66
Route de Sèvres - Porte de Bagatelle,66
François Truffaut - Saint Emilion,66
Parc André Citroën,65
Musée d'Orsay,65
Rocher - Laborde,65
Constantine - Université,65
Joseph Liouville - Croix Nivert,64
Hôpital Européen Georges Pompidou,64
Jean Macé - Faidherbe,63
Regnault - Patay,63
Epée de Bois - Mouffetard,63
Assemblée Nationale,63
Place Adolphe Cherioux - Vaugirard,63
Place Lafayette,62
Cambronne - Villa Croix Nivert,62
Grande Armée - Brunel,62
Sèvres - Lecourbe,62
René Boulanger - Lancry,62
Mozart - Jasmin,62
Bastille - Biscornet,62
Gare Rer de Fontenay sous Bois,61
Jourdan - Stade Charléty,60
Bourdonnais - Tour Eiffel,60
Lobau - Hôtel de Ville,60
Square Boucicaut,60
Granges aux Belles - Hôpital Saint-Louis,60
M.- A. Lagroua Weill-Hallé -  F. Dolto,60
Gare de Lyon - Place Louis Armand,60
Auguste Blanqui - Glacière,60
Porte Molitor,60
Alibert - Jemmapes,60
Place du Président Salvador Allende,60
Cité de la Musique,60
Bois de Vincennes.,60
Alexandre Dumas - Voltaire,59
Gare de l'Est - Chateau Landon,59
Place de la Porte de Châtillon,59
Square Cambronne,59
Place de la Reine Astrid,58
Félix Faure - Lourmel,58
Cimetière de Montrouge,58
Jules Ferry - Faubourg du Temple Paris,58
Richard Lenoir - Republique,58
Surcouf - Université,58
Filles Saint-Thomas - Place de la Bourse,58
Quai Panhard et Levassor,57
François Debergue - Croix de Chavaux,57
Claude Debussy - Marc Bloch,56
Porte de Clignancourt.,56
Dutot - Place Alleray,56
Crimée - Ourcq,56
Fragonard - Porte de Clichy,56
Ménilmontant - Père Lachaise,56
Place Marcel Sembat,56
Terroirs de France - Lheureux,55
Porte d'Aubervilliers,55
René Coty - Parc Montsouris,55
Mézières - Rennes,55
Dugommier,55
Gare d'Austerlitz - Pont Charles de Gaulle,55
Marseille - Beaurepaire,55
Parvis Corentin Celton,55
Place de Barcelone - Mirabeau,55
André Mazet - Saint-André des Arts,55
Mathis - Flandre,55
Lacépède - Linné,54
Hector Malot - Daumesnil,54
Vasco de Gama,54
Taitbout - La Fayette,53
Delphine Seyrig - Général Leclerc,53
Théâtre - Lourmel,53
Rond-Point Rhin et Danube,53
Brochant - Clichy,53
Lakanal - Commerce,53
Richard Lenoir - Place de la Bastille,53
Pau Casals - Neuve Tolbiac,53
Mairie d'Ivry-sur-Seine,53
Guy Môquet - Saint-Ouen,53
Place d'Italie - Soeur Rosalie,52
Raspail - Bac,52
Pont de Suresnes,52
Square Raymond Souplex,52
Adolphe Pinard - Victor Hugo,52
Parmentier - Abel Rabaud,52
Château de Vincennes,52
Morillons - Dantzig,52
Roquette - Folie Regnault,52
Porte Maillot - Pereire,52
Parc Suzanne Lenglen,52
Molitor - Michel-Ange,52
Mairie de Montreuil,52
Gare RER de Vincennes,51
